CustomerKey,AddressLine1,CommuteDistance,EmailAddress,FirstName,LastName,Gender,Phone,YearlyIncome,MaritalStatus,GeographyKey,EnglishEducation,EnglishOccupation,TotalChildren
11000,3761 N. 14th St,1-2 Miles,jon24@adventure-works.com,Jon,Yang,M,1 (11) 500 555-0162,"$90,000.00 ",M,26,Bachelors,Professional,2
11001,2243 W St.,0-1 Miles,eugene10@adventure-works.com,Eugene,Huang,M,1 (11) 500 555-0110,"$60,000.00 ",S,37,Bachelors,Professional,3
11002,5844 Linden Land,2-5 Miles,ruben35@adventure-works.com,Ruben,Torres,M,1 (11) 500 555-0184,"$60,000.00 ",M,31,Bachelors,Professional,3
11003,1825 Village Pl.,5-10 Miles,christy12@adventure-works.com,Christy,Zhu,F,1 (11) 500 555-0162,"$70,000.00 ",S,11,Bachelors,Professional,0
11004,7553 Harness Circle,1-2 Miles,elizabeth5@adventure-works.com,Elizabeth,Johnson,F,1 (11) 500 555-0131,"$80,000.00 ",S,19,Bachelors,Professional,5
11005,7305 Humphrey Drive,5-10 Miles,julio1@adventure-works.com,Julio,Ruiz,M,1 (11) 500 555-0151,"$70,000.00 ",S,22,Bachelors,Professional,0
11006,2612 Berry Dr,5-10 Miles,janet9@adventure-works.com,Janet,Alvarez,F,1 (11) 500 555-0184,"$70,000.00 ",S,8,Bachelors,Professional,0
11007,942 Brook Street,0-1 Miles,marco14@adventure-works.com,Marco,Mehta,M,1 (11) 500 555-0126,"$60,000.00 ",M,40,Bachelors,Professional,3
11008,624 Peabody Road,10+ Miles,rob4@adventure-works.com,Rob,Verhoff,F,1 (11) 500 555-0164,"$60,000.00 ",S,32,Bachelors,Professional,4
11009,3839 Northgate Road,5-10 Miles,shannon38@adventure-works.com,Shannon,Carlson,M,1 (11) 500 555-0110,"$70,000.00 ",S,25,Bachelors,Professional,0
11010,7800 Corrinne Court,5-10 Miles,jacquelyn20@adventure-works.com,Jacquelyn,Suarez,F,1 (11) 500 555-0169,"$70,000.00 ",S,22,Bachelors,Professional,0
11011,1224 Shoenic,10+ Miles,curtis9@adventure-works.com,Curtis,Lu,M,1 (11) 500 555-0117,"$60,000.00 ",M,22,Bachelors,Professional,4
11012,4785 Scott Street,1-2 Miles,lauren41@adventure-works.com,Lauren,Walker,F,717-555-0164,"$100,000.00 ",M,611,Bachelors,Management,2
11013,7902 Hudson Ave.,0-1 Miles,ian47@adventure-works.com,Ian,Jenkins,M,817-555-0185,"$100,000.00 ",M,543,Bachelors,Management,2
11014,9011 Tank Drive,1-2 Miles,sydney23@adventure-works.com,Sydney,Bennett,F,431-555-0156,"$100,000.00 ",S,634,Bachelors,Management,3
11015,244 Willow Pass Road,5-10 Miles,chloe23@adventure-works.com,Chloe,Young,F,208-555-0142,"$30,000.00 ",S,301,Partial College,Skilled Manual,0
11016,9666 Northridge Ct.,5-10 Miles,wyatt32@adventure-works.com,Wyatt,Hill,M,135-555-0171,"$30,000.00 ",M,329,Partial College,Skilled Manual,0
11017,7330 Saddlehill Lane,5-10 Miles,shannon1@adventure-works.com,Shannon,Wang,F,1 (11) 500 555-0195,"$20,000.00 ",S,39,High School,Skilled Manual,4
11018,244 Rivewview,5-10 Miles,clarence32@adventure-works.com,Clarence,Rai,M,1 (11) 500 555-0137,"$30,000.00 ",S,32,Partial College,Clerical,2
